Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
1;bubbleSort;Ordered;10;0.088;11;3
1;bubbleSort;Ordered;100;0.041;101;3
1;bubbleSort;Ordered;1000;0.073;1001;3
1;bubbleSort;Ordered;10000;0.09;10001;3
1;bubbleSort;OrderedInverse;10;0.003;99;191
1;bubbleSort;OrderedInverse;100;0.135;9999;19901
1;bubbleSort;OrderedInverse;1000;5.287;999999;1999001
1;bubbleSort;OrderedInverse;10000;285.419;99999999;199990001
1;bubbleSort;AlmostOrdered;10;0.003;34;29
1;bubbleSort;AlmostOrdered;100;0.022;4114;2240
1;bubbleSort;AlmostOrdered;1000;1.993;424037;253242
1;bubbleSort;AlmostOrdered;10000;109.96;43427689;24953504
1;bubbleSort;Random;10;0.002;73;90
1;bubbleSort;Random;100;0.197;7152;9496
1;bubbleSort;Random;1000;2.126;759242;1038312
1;bubbleSort;Random;10000;257.871;75172714;100720194
1;bubbleSort;Ordered;100000;0.664;100001;3
1;bubbleSort;OrderedInverse;100000;26413.5;9999999999;19999900001
1;bubbleSort;AlmostOrdered;100000;11338;4369093224;2497545472
1;bubbleSort;Random;100000;27541.4;7490734182;9962909879
2;bubbleSort;Ordered;10;0.002;11;3
2;bubbleSort;Ordered;100;0.005;101;3
2;bubbleSort;Ordered;1000;0.008;1001;3
2;bubbleSort;Ordered;10000;0.028;10001;3
2;bubbleSort;OrderedInverse;10;0.013;99;191
2;bubbleSort;OrderedInverse;100;0.171;9999;19901
2;bubbleSort;OrderedInverse;1000;5.308;999999;1999001
2;bubbleSort;OrderedInverse;10000;275.396;99999999;199990001
2;bubbleSort;AlmostOrdered;10;0.001;21;8
2;bubbleSort;AlmostOrdered;100;0.05;4390;2711
2;bubbleSort;AlmostOrdered;1000;1.067;440832;264829
2;bubbleSort;AlmostOrdered;10000;101.523;43165402;25249502
2;bubbleSort;Random;10;0.002;81;122
2;bubbleSort;Random;100;0.069;7589;10309
2;bubbleSort;Random;1000;2.057;750577;1002047
2;bubbleSort;Random;10000;256.808;75025263;100133245
2;bubbleSort;Ordered;100000;0.538;100001;3
2;bubbleSort;OrderedInverse;100000;26621.8;9999999999;19999900001
2;bubbleSort;AlmostOrdered;100000;11313.5;4354745956;2489380575
2;bubbleSort;Random;100000;27608.7;7493506968;9974095201
3;bubbleSort;Ordered;10;0.003;11;3
3;bubbleSort;Ordered;100;0.003;101;3
3;bubbleSort;Ordered;1000;0.005;1001;3
3;bubbleSort;Ordered;10000;0.054;10001;3
3;bubbleSort;OrderedInverse;10;0.001;99;191
3;bubbleSort;OrderedInverse;100;0.063;9999;19901
3;bubbleSort;OrderedInverse;1000;2.577;999999;1999001
3;bubbleSort;OrderedInverse;10000;264.637;99999999;199990001
3;bubbleSort;AlmostOrdered;10;0.003;48;35
3;bubbleSort;AlmostOrdered;100;0.014;3998;2445
3;bubbleSort;AlmostOrdered;1000;1.772;428221;253202
3;bubbleSort;AlmostOrdered;10000;100.849;42815235;24920918
3;bubbleSort;Random;10;0.002;74;105
3;bubbleSort;Random;100;0.065;7583;10401
3;bubbleSort;Random;1000;2.972;752972;1011292
3;bubbleSort;Random;10000;254.781;74986804;99946259
3;bubbleSort;Ordered;100000;0.653;100001;3
3;bubbleSort;OrderedInverse;100000;26487.7;9999999999;19999900001
3;bubbleSort;AlmostOrdered;100000;11374.8;4368568779;2487233629
3;bubbleSort;Random;100000;27632.4;7492200653;9969057513
4;bubbleSort;Ordered;100;0.201;101;3
4;bubbleSort;Ordered;1000;0.133;1001;3
4;bubbleSort;Ordered;10;0.009;11;3
4;bubbleSort;Ordered;10000;0.064;10001;3
4;bubbleSort;OrderedInverse;10;0.003;99;191
4;bubbleSort;OrderedInverse;100;0.2;9999;19901
4;bubbleSort;OrderedInverse;1000;9.635;999999;1999001
4;bubbleSort;OrderedInverse;10000;276.138;99999999;199990001
4;bubbleSort;AlmostOrdered;10;0.002;42;34
4;bubbleSort;AlmostOrdered;100;0.054;4016;2748
4;bubbleSort;AlmostOrdered;1000;1.084;426675;249101
4;bubbleSort;AlmostOrdered;10000;105.103;43200252;25245409
4;bubbleSort;Random;10;0.002;66;62
4;bubbleSort;Random;100;0.063;7370;9973
4;bubbleSort;Random;1000;2.188;751972;1012139
4;bubbleSort;Random;10000;264.015;74982710;99934699
4;bubbleSort;Ordered;100000;0.811;100001;3
4;bubbleSort;OrderedInverse;100000;26616.6;9999999999;19999900001
4;bubbleSort;AlmostOrdered;100000;11340.2;4351299648;2502619525
4;bubbleSort;Random;100000;27605.8;7495557870;9983051524
5;bubbleSort;Ordered;100;0.005;101;3
5;bubbleSort;Ordered;10;0.004;11;3
5;bubbleSort;Ordered;1000;0.098;1001;3
5;bubbleSort;Ordered;10000;0.05;10001;3
5;bubbleSort;OrderedInverse;10;0.003;99;191
5;bubbleSort;OrderedInverse;100;0.221;9999;19901
5;bubbleSort;OrderedInverse;1000;2.821;999999;1999001
5;bubbleSort;OrderedInverse;10000;270.562;99999999;199990001
5;bubbleSort;AlmostOrdered;100;0.049;3842;2287
5;bubbleSort;AlmostOrdered;10;0.003;32;21
5;bubbleSort;AlmostOrdered;1000;1.03;422216;256573
5;bubbleSort;AlmostOrdered;10000;101.246;43518504;24952930
5;bubbleSort;Random;10;0.003;84;127
5;bubbleSort;Random;100;0.032;7312;9251
5;bubbleSort;Random;1000;2.176;744468;977951
5;bubbleSort;Random;10000;255.389;75094160;100401091
5;bubbleSort;Ordered;100000;0.366;100001;3
5;bubbleSort;OrderedInverse;100000;26520.8;9999999999;19999900001
5;bubbleSort;AlmostOrdered;100000;11419.5;4358845616;2500544037
5;bubbleSort;Random;100000;27589.8;7505931172;10024630757
6;bubbleSort;Ordered;10;0.004;11;3
6;bubbleSort;Ordered;100;0.001;101;3
6;bubbleSort;Ordered;1000;0.075;1001;3
6;bubbleSort;Ordered;10000;0.033;10001;3
6;bubbleSort;OrderedInverse;10;0.002;99;191
6;bubbleSort;OrderedInverse;100;0.03;9999;19901
6;bubbleSort;OrderedInverse;1000;4.057;999999;1999001
6;bubbleSort;OrderedInverse;10000;264.582;99999999;199990001
6;bubbleSort;AlmostOrdered;10;0.004;41;30
6;bubbleSort;AlmostOrdered;100;0.023;4290;2729
6;bubbleSort;AlmostOrdered;1000;1.197;432316;269582
6;bubbleSort;AlmostOrdered;10000;102.425;43522421;24867763
6;bubbleSort;Random;10;0.024;74;91
6;bubbleSort;Random;100;0.052;7485;9974
6;bubbleSort;Random;1000;3.033;751790;1012486
6;bubbleSort;Random;10000;256.638;74903641;99605303
