Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
2;insertionSort;Ordered;10;0.002;27;27
2;insertionSort;Ordered;100;0.001;297;297
2;insertionSort;Ordered;1000;0.063;2997;2997
2;insertionSort;Ordered;10000;0.089;29997;29997
2;insertionSort;OrderedInverse;10;0.001;99;108
2;insertionSort;OrderedInverse;100;0.138;9999;10098
2;insertionSort;OrderedInverse;1000;3.653;999999;1000998
2;insertionSort;OrderedInverse;10000;175.855;99999999;100009998
2;insertionSort;AlmostOrdered;10;0.002;29;29
2;insertionSort;AlmostOrdered;100;0.005;1627;1627
2;insertionSort;AlmostOrdered;1000;0.292;135161;135161
2;insertionSort;AlmostOrdered;10000;21.846;12652311;12652311
2;insertionSort;Random;10;0.003;79;81
2;insertionSort;Random;100;0.059;5395;5399
2;insertionSort;Random;1000;1.886;503513;503521
2;insertionSort;Random;10000;87.031;50091673;50091682
