Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
11;selectionSort;Ordered;10;0.015;63;0
11;selectionSort;Ordered;100;0.02;5148;0
11;selectionSort;Ordered;1000;1.036;501498;0
11;selectionSort;Ordered;10000;90.552;50014998;0
11;selectionSort;OrderedInverse;10;0.002;88;40
11;selectionSort;OrderedInverse;100;0.054;7648;2650
11;selectionSort;OrderedInverse;1000;1.091;751498;251500
11;selectionSort;OrderedInverse;10000;95.198;75014998;25015000
11;selectionSort;AlmostOrdered;10;0.016;68;17
11;selectionSort;AlmostOrdered;100;0.053;5266;256
11;selectionSort;AlmostOrdered;1000;1.824;503832;3810
11;selectionSort;AlmostOrdered;10000;89.903;50050257;50226
11;selectionSort;Random;10;0.005;74;26
11;selectionSort;Random;100;0.057;5470;610
11;selectionSort;Random;1000;1.096;507112;8602
11;selectionSort;Random;10000;93.138;50093226;108192
