Interation;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
1;bubbleSort;Ordered;10;0.070000;11;3
1;bubbleSort;Ordered;100;0.069000;101;3
1;bubbleSort;Ordered;1000;0.193000;1001;3
1;bubbleSort;OrderedInverse;10;0.003000;99;191
1;bubbleSort;Ordered;10000;0.242000;10001;3
1;bubbleSort;OrderedInverse;100;0.328000;9999;19901
1;bubbleSort;AlmostOrdered;10;0.007000;31;17
1;bubbleSort;AlmostOrdered;100;0.270000;3797;2346
1;bubbleSort;Random;10;0.072000;75;109
1;bubbleSort;Random;100;0.268000;7653;10565
1;heapSort;Ordered;100;1.714000;966;2732
1;heapSort;Ordered;10;1.670000;47;151
1;heapSort;Random;10;0.036000;44;146
1;heapSort;Ordered;1000;17.659000;14852;39058
1;bubbleSort;AlmostOrdered;1000;37.097000;435551;247723
1;heapSort;OrderedInverse;1000;3.034000;13613;33895
1;heapSort;AlmostOrdered;1000;29.274000;14374;37832
1;mergeSort;Random;1000;49.851000;31964;34964
1;insertionSort;Random;100;0.620000;5525;5528
1;mergeSort;Ordered;1000;24.810000;31964;34964
1;mergeSort;Random;100;51.931000;2275;2575
1;insertionSort;Ordered;100;50.848000;297;297
1;insertionSort;AlmostOrdered;10;50.862000;33;33
1;insertionSort;AlmostOrdered;100;50.901000;1449;1449
1;mergeSort;Ordered;100;49.296000;2275;2575
1;heapSort;Random;100;49.439000;938;2538
1;insertionSort;Ordered;10000;47.343000;29997;29997
1;heapSort;Random;1000;6.572000;14381;36833
1;mergeSort;AlmostOrdered;10;0.013000;134;164
1;mergeSort;AlmostOrdered;100;0.112000;2275;2575
1;heapSort;AlmostOrdered;10;59.228000;45;147
1;insertionSort;Random;10;61.110000;73;75
1;insertionSort;OrderedInverse;100;61.220000;9999;10098
1;heapSort;OrderedInverse;100;61.373000;872;2280
1;mergeSort;Random;10;0.015000;134;164
1;bubbleSort;Random;1000;128.508000;754753;1019388
1;mergeSort;OrderedInverse;100;59.035000;2275;2575
1;insertionSort;OrderedInverse;10;58.698000;99;108
1;mergeSort;Ordered;10;269.915000;134;164
1;insertionSort;Ordered;1000;0.049000;2997;2997
1;insertionSort;Random;1000;58.141000;512187;512195
1;selectionSort;Random;1000;83.641000;506905;8392
1;insertionSort;Ordered;10;72.200000;27;27
1;insertionSort;OrderedInverse;1000;120.509000;999999;1000998
1;mergeSort;AlmostOrdered;1000;83.494000;31964;34964
1;selectionSort;Ordered;10;0.010000;63;0
1;selectionSort;OrderedInverse;100;0.084000;7648;2650
1;quickSort;AlmostOrdered;100;0.190000;3479;4098
1;selectionSort;Random;10;0.021000;76;34
1;selectionSort;Random;100;1.860000;5461;592
1;heapSort;OrderedInverse;10;85.636000;43;119
1;bubbleSort;OrderedInverse;1000;88.353000;999999;1999001
1;splaySort;Ordered;100;63.186000;2322;3221
1;selectionSort;AlmostOrdered;100;0.063000;5274;258
1;quickSort;Random;100;0.147000;1168;1522
1;quickSort;OrderedInverse;100;2.736000;7697;6090
1;selectionSort;OrderedInverse;1000;159.826000;751498;251500
1;quickSort;Random;10;159.860000;53;108
1;selectionSort;AlmostOrdered;1000;192.749000;503925;3909
1;splaySort;OrderedInverse;1000;193.265000;12995;15996
1;splaySort;AlmostOrdered;1000;194.481000;36810;52751
1;splaySort;Random;10;222.495000;201;273
1;splaySort;Random;1000;225.454000;54701;79825
1;selectionSort;OrderedInverse;10;227.050000;88;40
1;quickSort;AlmostOrdered;1000;259.521000;261715;266720
1;insertionSort;AlmostOrdered;1000;264.406000;126609;126609
1;mergeSort;OrderedInverse;10;264.571000;134;164
1;heapSort;AlmostOrdered;100;241.475000;933;2625
1;selectionSort;AlmostOrdered;10;0.005000;65;5
1;selectionSort;Ordered;100;45.398000;5148;0
1;splaySort;AlmostOrdered;10;0.013000;174;233
1;quickSort;Ordered;10;3.877000;117;200
1;quickSort;Ordered;100;239.523000;10197;11090
1;quickSort;OrderedInverse;10;280.112000;92;150
1;splaySort;Ordered;10;248.607000;186;253
1;splaySort;OrderedInverse;10;248.852000;125;156
1;quickSort;AlmostOrdered;10;280.149000;84;156
1;splaySort;OrderedInverse;100;252.670000;1295;1596
1;splaySort;AlmostOrdered;100;261.336000;2770;3873
1;splaySort;Random;100;261.416000;3661;5240
1;selectionSort;Ordered;1000;222.153000;501498;0
1;mergeSort;OrderedInverse;1000;563.168000;31964;34964
1;quickSort;Random;1000;385.866000;18343;18222
1;quickSort;OrderedInverse;1000;416.270000;751997;510990
1;quickSort;Ordered;1000;376.391000;1001997;1010990
1;heapSort;Ordered;10000;779.039000;197606;510854
1;mergeSort;Random;10000;838.511000;428984;458984
1;splaySort;Ordered;1000;828.859000;24220;33751
1;mergeSort;AlmostOrdered;10000;1070.905000;428984;458984
1;splaySort;OrderedInverse;10000;911.992000;129995;159996
1;mergeSort;Ordered;10000;1267.289000;428984;458984
1;heapSort;Random;10000;1300.247000;193274;484480
1;splaySort;Ordered;10000;993.937000;243839;340080
1;splaySort;AlmostOrdered;10000;1256.618000;465514;674436
1;splaySort;Random;10000;1436.804000;745028;1096517
1;heapSort;AlmostOrdered;10000;1807.645000;193134;494672
1;heapSort;OrderedInverse;10000;1908.081000;186205;456269
1;mergeSort;OrderedInverse;10000;1835.036000;428984;458984
1;insertionSort;AlmostOrdered;10000;2048.295000;12578579;12578579
1;quickSort;Random;10000;3433.300000;270986;244394
1;selectionSort;Ordered;10000;3682.028000;50014998;0
1;bubbleSort;AlmostOrdered;10000;4877.660000;43383711;25102088
1;selectionSort;AlmostOrdered;10000;6013.859000;50051142;51123
1;insertionSort;Random;10000;6478.195000;50091597;50091608
1;quickSort;AlmostOrdered;10000;6360.820000;25194344;25233312
1;selectionSort;OrderedInverse;10000;6452.443000;75014998;25015000
1;selectionSort;Random;10000;6854.630000;50091149;106118
1;bubbleSort;Random;10000;8922.313000;75035784;100133239
1;insertionSort;OrderedInverse;10000;8862.057000;99999999;100009998
1;bubbleSort;OrderedInverse;10000;8990.982000;99999999;199990001
1;quickSort;Ordered;10000;8565.504000;100019997;100109990
1;quickSort;OrderedInverse;10000;8808.019000;75019997;50109990
