Iteration;Algorithm;DatasetName;DatasetSize;Time;Counter Comparisons;Counter Movements
1;bubbleSort;Ordered;10;0.042;11;3
1;bubbleSort;Ordered;1000;0.174;1001;3
1;bubbleSort;Ordered;100;0.088;101;3
1;bubbleSort;OrderedInverse;10;0.004;99;191
1;bubbleSort;Ordered;10000;0.295;10001;3
1;bubbleSort;AlmostOrdered;10;0.003;42;34
1;bubbleSort;OrderedInverse;100;0.303;9999;19901
1;bubbleSort;AlmostOrdered;100;0.067;4197;2357
1;bubbleSort;Random;10;0.041;77;117
1;bubbleSort;Random;100;0.22;7107;9229
1;heapSort;OrderedInverse;10;0.143;43;119
1;heapSort;OrderedInverse;1000;15.037;13613;33895
1;mergeSort;OrderedInverse;10;0.014;134;164
1;mergeSort;Ordered;10;0.08;134;164
1;insertionSort;Random;100;0.199;4861;4866
1;insertionSort;Random;10;2.048;75;78
1;mergeSort;Ordered;100;2.3;2275;2575
1;mergeSort;OrderedInverse;1000;8.895;31964;34964
1;mergeSort;AlmostOrdered;10;0.015;134;164
1;mergeSort;Random;1000;18.602;31964;34964
1;splaySort;Random;100;0.594;3628;5203
1;mergeSort;AlmostOrdered;100;0.252;2275;2575
1;heapSort;Ordered;100;1.471;966;2732
1;mergeSort;OrderedInverse;100;0.281;2275;2575
1;splaySort;Random;10;1.558;208;280
1;bubbleSort;AlmostOrdered;1000;49.921;434089;245909
1;heapSort;Ordered;10;0.016;47;151
1;heapSort;Random;100;8.703;930;2554
1;heapSort;AlmostOrdered;1000;10.435;14331;37791
1;insertionSort;Random;1000;38.356;504673;504677
1;selectionSort;OrderedInverse;100;0.075;7648;2650
1;mergeSort;Ordered;1000;2.279;31964;34964
1;heapSort;AlmostOrdered;100;0.165;928;2636
1;heapSort;Random;10;0.016;49;139
1;insertionSort;OrderedInverse;10;0.005;99;108
1;mergeSort;AlmostOrdered;1000;5.081;31964;34964
1;quickSort;Ordered;10;34.173;117;200
1;quickSort;OrderedInverse;100;34.461;7697;6090
1;selectionSort;AlmostOrdered;10;0.004;68;14
1;selectionSort;AlmostOrdered;100;0.217;5261;248
1;splaySort;AlmostOrdered;10;51.537;176;236
1;insertionSort;Ordered;100;53.169;297;297
1;selectionSort;Random;100;53.052;5506;649
1;mergeSort;Random;100;180.719;2275;2575
1;insertionSort;Ordered;10000;294.661;29997;29997
1;splaySort;OrderedInverse;10;240.706;125;156
1;quickSort;AlmostOrdered;10;1.513;73;142
1;heapSort;OrderedInverse;100;240.599;872;2280
1;bubbleSort;Random;1000;73.211;750782;1004337
1;quickSort;OrderedInverse;1000;66.315;751997;510990
1;quickSort;OrderedInverse;10;0.062;92;150
1;heapSort;Ordered;1000;2.57;14852;39058
1;splaySort;AlmostOrdered;100;0.104;2730;3843
